,place_name,reviewer_name,reviewer_rating
494,Rumah Makan Adem Ayem,Steven Lee,5
495,Canton Restaurant,Faiz Rabbani,4
496,Canton Restaurant,Andre Bastary,5
497,Canton Restaurant,Skull Crusher,5
498,Canton Restaurant,Mariana Wijayanti,5
499,Canton Restaurant,Oktavius Kristanto,5
500,Ramayana Indonesian Restaurant,Felana,4
501,Ramayana Indonesian Restaurant,Kasra J. Munara,4
502,Ramayana Indonesian Restaurant,Ambrose John,5
503,Ramayana Indonesian Restaurant,Stary Stary,5
504,Ramayana Indonesian Restaurant,Hendro HP (HP),5
505,Tirai Bamboe Restaurant,Noviyanti Narulita,4
506,Tirai Bamboe Restaurant,Bernhard Fego,5
507,Tirai Bamboe Restaurant,Dharaa Dhara,4
508,Tirai Bamboe Restaurant,G's H.,2
509,Tirai Bamboe Restaurant,Erlina Papudi,3
510,RODA DIMSUM & CHINESE FOOD,Divyna Aletta,5
511,RODA DIMSUM & CHINESE FOOD,Bella Luna Zadithya,5
512,RODA DIMSUM & CHINESE FOOD,Andi Asrawi,4
513,RODA DIMSUM & CHINESE FOOD,iskandar zulkarnain,4
514,RODA DIMSUM & CHINESE FOOD,Harry Sufehmi,3
515,RM Blengerr,Ellfa D Y,5
516,RM Blengerr,retha setiawan,5
517,RM Blengerr,Gunawan Wijaya,5
518,RM Blengerr,Victo M,4
519,RM Blengerr,Mangli Adventure,5
520,XinXin Restaurant,Andre Bastary,4
521,XinXin Restaurant,kevinch,5
522,XinXin Restaurant,Rick Berry,4
523,XinXin Restaurant,Widow Maker,5
524,XinXin Restaurant,Rudy Samuel,4
525,Kafe Star Restaurant,B.C. Ong,4
526,Kafe Star Restaurant,kevinch,5
527,Kafe Star Restaurant,Suryadi Hertanto,5
528,Kafe Star Restaurant,Julian Julian,4
529,Kafe Star Restaurant,Christiany Meitrea,5
530,Palm Ethnic Resto,Raymond Valiant,5
531,Palm Ethnic Resto,Mariana Wijayanti,5
532,Palm Ethnic Resto,Fikri Indrawan (AcengondoG),3
533,Palm Ethnic Resto,Olivia OliveTree,4
534,Palm Ethnic Resto,Alfons Tefa,4
535,Karonssih Culinary & Craft,Kristiana,4
536,Karonssih Culinary & Craft,AleKay Story,5
537,Karonssih Culinary & Craft,Andhika Harya P.,5
